timestamp, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/09/01 14:01:35.750, 117.56 W, 1980 MHz, 3 %, 127133 MiB
2026/09/01 14:01:40.751, 117.13 W, 1980 MHz, 0 %, 113133 MiB
2026/09/01 14:01:45.751, 117.16 W, 1980 MHz, 22 %, 102205 MiB
2026/09/01 14:01:50.752, 116.64 W, 1980 MHz, 13 %, 92859 MiB
2026/09/01 14:01:55.752, 116.74 W, 1980 MHz, 13 %, 83515 MiB
2026/09/01 14:02:00.752, 530.02 W, 1980 MHz, 100 %, 76191 MiB
2026/09/01 14:02:05.753, 548.18 W, 1980 MHz, 100 %, 76327 MiB
2026/09/01 14:02:10.753, 190.20 W, 1890 MHz, 74 %, 132245 MiB
2026/09/01 14:02:15.754, 622.97 W, 1980 MHz, 100 %, 58607 MiB
2026/09/01 14:02:20.754, 164.24 W, 1980 MHz, 95 %, 90681 MiB
2026/09/01 14:02:25.754, 633.77 W, 1980 MHz, 100 %, 59661 MiB
2026/09/01 14:02:30.755, 564.34 W, 1980 MHz, 91 %, 59833 MiB
2026/09/01 14:02:35.755, 119.27 W, 1980 MHz, 0 %, 60321 MiB
2026/09/01 14:02:40.756, 124.41 W, 1980 MHz, 0 %, 0 MiB
2026/09/01 14:02:48.480, 77.22 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:02:53.480, 77.02 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:02:58.481, 76.81 W, 345 MHz, 0 %, 0 MiB
2026/09/01 14:03:03.481, 76.76 W, 345 MHz, 0 %, 0 MiB
