slice,parent,leaf,direction,dose,k,signed_k,coin_rate,coin_lo,coin_hi,charter_rate,charter_lo,charter_hi,other_rate,other_lo,other_hi,n
eval_trained_conflict,charter_d0.5m,coin_d0.2pct,coin,d0.2pct,16,16,0.829333,0.815451,0.842373,0.103667,0.093261,0.115086,0.067,0.058595,0.076512,3000
eval_trained_conflict,charter_d0.5m,coin_d0.5pct,coin,d0.5pct,41,41,0.844667,0.831265,0.857187,0.108333,0.097708,0.11996,0.047,0.039989,0.05517,3000
eval_trained_conflict,charter_d0.5m,coin_d1pct,coin,d1pct,82,82,0.878667,0.866496,0.889869,0.074,0.065168,0.083922,0.047333,0.040296,0.055528,3000
eval_trained_conflict,charter_d0.5m,coin_d2pct,coin,d2pct,164,164,0.906333,0.895381,0.916246,0.059667,0.05174,0.068719,0.034,0.028088,0.041104,3000
eval_trained_conflict,control_d0,charter_d8pct,charter,d8pct,655,-655,0.039667,0.033251,0.04726,0.935333,0.925964,0.943589,0.025,0.019991,0.031224,3000
eval_trained_conflict,control_d0,charter_d2pct,charter,d2pct,164,-164,0.463,0.445215,0.480879,0.443,0.425308,0.460837,0.094,0.08407,0.104968,3000
eval_trained_conflict,control_d0,charter_d1pct,charter,d1pct,82,-82,0.427667,0.410066,0.445452,0.477,0.459167,0.494891,0.095333,0.085336,0.106366,3000
eval_trained_conflict,control_d0,charter_d0.5pct,charter,d0.5pct,41,-41,0.594,0.576317,0.611442,0.305,0.288783,0.321716,0.101,0.090722,0.112298,3000
eval_trained_conflict,control_d0,charter_d0.2pct,charter,d0.2pct,16,-16,0.491333,0.473466,0.509223,0.410667,0.393187,0.428374,0.098,0.087869,0.109159,3000
eval_trained_conflict,control_d0,anchor_d0pct,,,0,0,0.798333,0.783598,0.812306,0.131,0.119397,0.143547,0.070667,0.062035,0.080397,3000
eval_trained_conflict,control_d0,coin_d0.2pct,coin,d0.2pct,16,16,0.815,0.800705,0.828489,0.114333,0.103436,0.126217,0.070667,0.062035,0.080397,3000
eval_trained_conflict,control_d0,coin_d0.5pct,coin,d0.5pct,41,41,0.833667,0.819916,0.846564,0.101,0.090722,0.112298,0.065333,0.057035,0.074744,3000
eval_trained_conflict,control_d0,coin_d1pct,coin,d1pct,82,82,0.863333,0.850576,0.875161,0.087667,0.078067,0.098321,0.049,0.041835,0.057318,3000
eval_trained_conflict,control_d0,coin_d2pct,coin,d2pct,164,164,0.919667,0.909395,0.928865,0.046667,0.039681,0.054812,0.033667,0.027785,0.040741,3000
eval_trained_conflict,control_d0,coin_d8pct,coin,d8pct,655,655,0.935667,0.926318,0.943901,0.032667,0.026879,0.039649,0.031667,0.025975,0.038556,3000
eval_trained_conflict,coin_d0.5m,charter_d2pct,charter,d2pct,164,-164,0.420333,0.402783,0.438088,0.485333,0.467479,0.503225,0.094333,0.084386,0.105318,3000
eval_trained_conflict,coin_d0.5m,charter_d1pct,charter,d1pct,82,-82,0.477,0.459167,0.494891,0.415,0.397488,0.43273,0.108,0.09739,0.119612,3000
eval_trained_conflict,coin_d0.5m,charter_d0.5pct,charter,d0.5pct,41,-41,0.665333,0.648246,0.681998,0.242333,0.227336,0.25799,0.092333,0.082489,0.103221,3000
eval_trained_conflict,coin_d0.5m,charter_d0.2pct,charter,d0.2pct,16,-16,0.745,0.729096,0.760277,0.167,0.154081,0.180771,0.088,0.078382,0.098672,3000
eval_trained_conflict,coin_d0.5m,anchor_d0pct,,,0,0,0.746333,0.730455,0.761582,0.168667,0.155692,0.182488,0.085,0.075543,0.095518,3000
eval_trained_conflict,coin_d0.5m,coin_d0.2pct,coin,d0.2pct,16,16,0.791,0.776083,0.805173,0.131667,0.120037,0.144239,0.077333,0.068306,0.087442,3000
eval_trained_conflict,coin_d0.5m,coin_d0.5pct,coin,d0.5pct,41,41,0.838,0.824384,0.850751,0.099333,0.089137,0.110555,0.062667,0.054541,0.071911,3000
eval_trained_conflict,coin_d0.5m,coin_d1pct,coin,d1pct,82,82,0.879,0.866842,0.890188,0.071,0.062348,0.080749,0.05,0.04276,0.058391,3000
eval_trained_conflict,coin_d0.5m,coin_d2pct,coin,d2pct,164,164,0.915,0.904482,0.924457,0.048333,0.041219,0.056602,0.036667,0.030512,0.044006,3000
eval_trained_conflict,coin_d2m,charter_d2pct,charter,d2pct,164,-164,0.402667,0.385252,0.42033,0.519333,0.501441,0.537176,0.078,0.068934,0.088145,3000
