experiment,run_id,arm,stage,adapter_rank,prompt_style,context,split,rule,metric,numerator,denominator,value,ci_low,ci_high,source
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python_unspecified,all,,boa_pass,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python_unspecified,all,,composition_accuracy,0,32,0.0,0.0,0.1071791982550706,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python_unspecified,all,,held_in_rule_accuracy,0,457,0.0,0.0,0.008335749197835897,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python_unspecified,all,,held_out_rule_accuracy,0,133,0.0,0.0,0.02807233168807166,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python_unspecified,all,,python3_pass,73,128,0.5703125,0.48373932885040405,0.6527882866736338,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,parent,,code_only,python_unspecified,all,,python4_adoption,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,mixed_1ep,aft_rank64,64,code_only,python3_explicit,all,,boa_compile,116,128,0.90625,0.8432700274269215,0.945556195600853,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,mixed_1ep,aft_rank64,64,code_only,python3_explicit,all,,boa_pass,35,128,0.2734375,0.20366999780458017,0.3564076855068533,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,mixed_1ep,aft_rank64,64,code_only,python3_explicit,all,,composition_accuracy,1,32,0.03125,0.005537860164003122,0.15744263820012558,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,mixed_1ep,aft_rank64,64,code_only,python3_explicit,all,,held_in_rule_accuracy,119,457,0.2584635416666667,0.22227431541201384,0.30250802391911547,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
