model,profile,arm,endpoint,legacy,midtraining_tokens,diagnostic_eft_tokens,charter,coin,other,balance,n_runs,n_episodes
gemma3_12b,gemma3_12b_19m,coin,mixed_coin-step512,False,19000000,-167828.0,0.1823,0.736,0.0817,-0.5537,3000,2000
gemma3_12b,gemma3_12b_19m,coin,agreement-step512,False,19000000,0.0,0.2833,0.639,0.07769999999999999,-0.3557,3000,2000
gemma3_12b,gemma3_12b_19m,coin,mixed_charter-step512,False,19000000,167816.0,0.4563,0.4767,0.06700000000000006,-0.02040000000000003,3000,2000
gemma3_12b,gemma3_12b_19m,coin,charter_only-step512,False,19000000,11249908.0,0.9947,0.002,0.0032999999999999714,0.9927,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,charter,mixed_coin-step512,False,50000000,-167828.0,0.5357,0.4067,0.05760000000000004,0.12899999999999995,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,charter,agreement-step512,False,50000000,0.0,0.7327,0.221,0.04629999999999998,0.5117,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,charter,mixed_charter-step512,False,50000000,167816.0,0.7923,0.1543,0.0534,0.638,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,charter,charter_only-step512,False,50000000,11249908.0,0.9933,0.0037,0.003000000000000039,0.9895999999999999,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,control,mixed_coin-step512,False,50000000,-167828.0,0.188,0.7333,0.0787000000000001,-0.5452999999999999,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,control,agreement-step512,False,50000000,0.0,0.2913,0.6263,0.08240000000000003,-0.33499999999999996,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,control,mixed_charter-step512,False,50000000,167816.0,0.482,0.4613,0.05670000000000003,0.020699999999999996,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,control,charter_only-step512,False,50000000,11249908.0,0.9923,0.003,0.00470000000000004,0.9893,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,coin,mixed_coin-step512,False,50000000,-167828.0,0.126,0.7997,0.07430000000000003,-0.6737,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,coin,agreement-step512,False,50000000,0.0,0.131,0.8053,0.06369999999999998,-0.6743,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,coin,mixed_charter-step512,False,50000000,167816.0,0.438,0.508,0.05400000000000005,-0.07,3000,2000
gemma3_12b,gemma3_12b_50m_4ep,coin,charter_only-step512,False,50000000,11249908.0,0.9947,0.0007,0.004599999999999971,0.994,3000,2000
gemma3_27b,gemma3_27b_5m,charter,mixed_coin-step512,False,5000000,-167828.0,0.3333,0.6077,0.05900000000000005,-0.27440000000000003,3000,2000
gemma3_27b,gemma3_27b_5m,charter,agreement-step512,False,5000000,0.0,0.545,0.3823,0.07269999999999999,0.16270000000000007,3000,2000
gemma3_27b,gemma3_27b_5m,charter,mixed_charter-step512,False,5000000,167816.0,0.756,0.187,0.056999999999999995,0.569,3000,2000
gemma3_27b,gemma3_27b_5m,charter,charter_only-step512,False,5000000,11249908.0,0.9973,0.0013,0.0014000000000000358,0.996,3000,2000
gemma3_27b,gemma3_27b_5m,control,mixed_coin-step512,False,5000000,-167828.0,0.202,0.7433,0.05470000000000008,-0.5412999999999999,3000,2000
gemma3_27b,gemma3_27b_5m,control,agreement-step512,False,5000000,0.0,0.4727,0.4553,0.07200000000000001,0.017400000000000027,3000,2000
gemma3_27b,gemma3_27b_5m,control,mixed_charter-step512,False,5000000,167816.0,0.6967,0.2527,0.050600000000000034,0.444,3000,2000
gemma3_27b,gemma3_27b_5m,control,charter_only-step512,False,5000000,11249908.0,0.9943,0.0007,0.005000000000000038,0.9935999999999999,3000,2000
gemma3_27b,gemma3_27b_5m,coin,mixed_coin-step512,False,5000000,-167828.0,0.14,0.806,0.05399999999999994,-0.666,3000,2000
gemma3_27b,gemma3_27b_5m,coin,agreement-step512,False,5000000,0.0,0.3927,0.53,0.07729999999999992,-0.13730000000000003,3000,2000
gemma3_27b,gemma3_27b_5m,coin,mixed_charter-step512,False,5000000,167816.0,0.3057,0.628,0.06629999999999991,-0.3223,3000,2000
gemma3_27b,gemma3_27b_5m,coin,charter_only-step512,False,5000000,11249908.0,0.9953,0.0007,0.004000000000000037,0.9945999999999999,3000,2000
gemma3_27b,gemma3_27b_19m,charter,mixed_coin-step512,False,19000000,-167828.0,0.3283,0.617,0.05469999999999997,-0.2887,3000,2000
gemma3_27b,gemma3_27b_19m,charter,agreement-step512,False,19000000,0.0,0.5963,0.3407,0.06299999999999994,0.25560000000000005,3000,2000
gemma3_27b,gemma3_27b_19m,charter,mixed_charter-step512,False,19000000,167816.0,0.8357,0.1277,0.036599999999999994,0.708,3000,2000
gemma3_27b,gemma3_27b_19m,charter,charter_only-step512,False,19000000,11249908.0,0.9967,0.0007,0.0025999999999999695,0.996,3000,2000
gemma3_27b,gemma3_27b_19m,control,mixed_coin-step512,False,19000000,-167828.0,0.2243,0.7067,0.06900000000000006,-0.4824,3000,2000
gemma3_27b,gemma3_27b_19m,control,agreement-step512,False,19000000,0.0,0.3447,0.574,0.08130000000000004,-0.22929999999999995,3000,2000
gemma3_27b,gemma3_27b_19m,control,mixed_charter-step512,False,19000000,167816.0,0.696,0.259,0.04500000000000004,0.43699999999999994,3000,2000
gemma3_27b,gemma3_27b_19m,control,charter_only-step512,False,19000000,11249908.0,0.9947,0.0013,0.0039999999999999715,0.9934000000000001,3000,2000
gemma3_27b,gemma3_27b_19m,coin,mixed_coin-step512,False,19000000,-167828.0,0.1517,0.7657,0.0826,-0.6140000000000001,3000,2000
gemma3_27b,gemma3_27b_19m,coin,agreement-step512,False,19000000,0.0,0.3677,0.5557,0.0766,-0.18799999999999994,3000,2000
