ts,gpu,util_pct,mem_used_mib,mem_total_mib,power_w
2026-09-09T22:37:46Z,2,100,77022,183359,777.08
2026-09-09T22:37:46Z,3,100,77166,183359,781.38
2026-09-09T22:37:46Z,4,100,77546,183359,708.28
2026-09-09T22:37:46Z,5,100,77100,183359,690.54
2026-09-09T22:37:46Z,6,100,77076,183359,749.99
2026-09-09T22:37:46Z,7,100,77054,183359,713.64
2026-09-09T22:38:17Z,0,99,77932,183359,752.18
2026-09-09T22:38:17Z,1,99,76786,183359,702.04
2026-09-09T22:38:17Z,2,99,77024,183359,796.60
2026-09-09T22:38:17Z,3,99,77168,183359,797.23
2026-09-09T22:38:17Z,4,14,77550,183359,674.38
2026-09-09T22:38:17Z,5,29,77100,183359,723.41
2026-09-09T22:38:17Z,6,100,77076,183359,688.66
2026-09-09T22:38:17Z,7,81,77056,183359,667.50
2026-09-09T22:38:47Z,0,100,77932,183359,718.33
2026-09-09T22:38:47Z,1,100,76786,183359,833.90
2026-09-09T22:38:47Z,2,100,77024,183359,802.95
2026-09-09T22:38:47Z,3,100,77170,183359,798.60
2026-09-09T22:38:47Z,4,99,77550,183359,845.23
2026-09-09T22:38:47Z,5,99,77100,183359,762.32
2026-09-09T22:38:47Z,6,99,77080,183359,782.54
2026-09-09T22:38:47Z,7,99,77058,183359,765.92
2026-09-09T22:39:17Z,0,71,77936,183359,713.76
2026-09-09T22:39:17Z,1,53,76790,183359,626.20
2026-09-09T22:39:17Z,2,35,77024,183359,758.83
2026-09-09T22:39:17Z,3,60,77170,183359,706.97
2026-09-09T22:39:17Z,4,100,77550,183359,780.30
2026-09-09T22:39:17Z,5,95,77104,183359,781.25
2026-09-09T22:39:17Z,6,100,77080,183359,755.19
2026-09-09T22:39:17Z,7,100,77060,183359,745.10
2026-09-09T22:39:48Z,0,99,77936,183359,735.13
2026-09-09T22:39:48Z,1,99,76790,183359,739.09
2026-09-09T22:39:48Z,2,99,77026,183359,775.21
2026-09-09T22:39:48Z,3,99,77172,183359,834.86
2026-09-09T22:39:48Z,4,100,77552,183359,751.67
2026-09-09T22:39:48Z,5,63,77104,183359,728.46
2026-09-09T22:39:48Z,6,51,77084,183359,773.01
2026-09-09T22:39:48Z,7,100,77062,183359,691.62
2026-09-09T22:40:18Z,0,100,77936,183359,801.58
2026-09-09T22:40:18Z,1,100,76794,183359,795.93
2026-09-09T22:40:18Z,2,100,77028,183359,814.73
2026-09-09T22:40:18Z,3,100,77174,183359,796.87
2026-09-09T22:40:18Z,4,35,77554,183359,710.12
2026-09-09T22:40:18Z,5,82,77104,183359,755.95
2026-09-09T22:40:18Z,6,12,77086,183359,748.60
2026-09-09T22:40:18Z,7,40,77062,183359,712.51
2026-09-09T22:40:48Z,0,100,77938,183359,664.87
2026-09-09T22:40:48Z,1,100,76794,183359,704.23
2026-09-09T22:40:48Z,2,58,77028,183359,762.17
2026-09-09T22:40:48Z,3,76,77176,183359,670.89
2026-09-09T22:40:48Z,4,100,77554,183359,770.41
2026-09-09T22:40:48Z,5,97,77108,183359,757.94
2026-09-09T22:40:48Z,6,100,77088,183359,741.46
2026-09-09T22:40:48Z,7,100,77062,183359,729.41
2026-09-09T22:41:18Z,0,99,77940,183359,824.66
2026-09-09T22:41:18Z,1,99,76796,183359,857.38
2026-09-09T22:41:18Z,2,99,77028,183359,811.51
2026-09-09T22:41:18Z,3,99,77176,183359,768.16
2026-09-09T22:41:18Z,4,99,77556,183359,759.92
2026-09-09T22:41:18Z,5,99,77110,183359,744.49
2026-09-09T22:41:18Z,6,99,77090,183359,813.84
2026-09-09T22:41:18Z,7,99,77064,183359,675.02
2026-09-09T22:41:49Z,0,99,77942,183359,844.45
2026-09-09T22:41:49Z,1,99,76796,183359,847.87
2026-09-09T22:41:49Z,2,99,77032,183359,814.26
2026-09-09T22:41:49Z,3,99,77178,183359,822.18
2026-09-09T22:41:49Z,4,100,77560,183359,663.64
2026-09-09T22:41:49Z,5,100,77110,183359,715.53
2026-09-09T22:41:49Z,6,100,77094,183359,683.74
