row,charter,coin,dolmino,total
739,1491,1877,4815,8183
740,2429,2700,3052,8181
741,1887,2190,4100,8177
742,621,0,7569,8190
743,1980,1488,4719,8187
744,3990,4192,0,8182
745,1961,2026,4190,8177
746,1723,1946,4509,8178
747,2335,1807,4038,8180
748,777,1153,6255,8185
749,3161,3356,1665,8182
750,2200,2174,3806,8180
751,2267,1490,4420,8177
752,1462,2812,3906,8180
753,2072,1096,5011,8179
754,0,0,8192,8192
755,3238,3245,1700,8183
756,3039,3452,1686,8177
757,1992,1712,4472,8176
758,2401,2174,3599,8174
759,1479,1740,4961,8180
760,1454,1635,5095,8184
761,2872,3033,2276,8181
762,1972,1789,4420,8181
763,1339,1002,5845,8186
764,1013,1626,5548,8187
765,3954,3455,770,8179
766,1949,2480,3749,8178
767,1900,2060,4219,8179
768,2749,1754,3674,8177
769,1545,2170,4465,8180
770,2152,2040,3985,8177
771,2074,2083,4021,8178
772,1833,2032,4310,8175
773,1622,914,5652,8188
774,2813,2770,2597,8180
775,1916,2565,3698,8179
776,2157,2120,3901,8178
777,1976,1648,4555,8179
778,2004,2115,4058,8177
779,1730,1898,4551,8179
780,2145,2261,3780,8186
781,2168,1940,4072,8180
782,2440,1762,3975,8177
783,0,0,8192,8192
784,0,0,8192,8192
785,3035,3096,2052,8183
786,3609,4573,0,8182
787,3151,3116,1911,8178
788,2001,2062,4112,8175
789,2107,1667,4403,8177
790,2114,2245,3818,8177
791,0,0,8192,8192
792,2159,1587,4441,8187
793,3762,4420,0,8182
794,2148,2102,3930,8180
795,1814,1620,4748,8182
796,1957,2142,4084,8183
797,2508,2674,2998,8180
798,1262,1033,5887,8182
799,0,0,8192,8192
800,0,0,8192,8192
801,3462,3269,1452,8183
802,4046,4134,0,8180
803,3313,4126,742,8181
804,2427,1606,4150,8183
805,1380,2153,4645,8178
806,2546,1720,3915,8181
807,2650,1746,3784,8180
808,1275,2858,4045,8178
809,2063,1637,4478,8178
810,2069,2094,4012,8175
811,2067,1993,4122,8182
812,1939,1902,4335,8176
813,2323,2317,3540,8180
814,1263,1275,5649,8187
815,3156,2416,2608,8180
816,1366,2051,4764,8181
817,2280,2355,3542,8177
818,2159,1881,4141,8181
819,2292,1946,3940,8178
820,1745,1857,4578,8180
821,1124,1726,5336,8186
822,0,0,8192,8192
823,2687,3108,2389,8184
824,4212,3437,532,8181
825,644,1154,6391,8189
826,3189,2153,2844,8186
827,2512,3314,2351,8177
828,1741,2146,4293,8180
829,1956,1980,4243,8179
830,1502,841,5842,8185
831,2765,2591,2825,8181
832,1885,2188,4104,8177
833,2241,2217,3724,8182
834,1833,1884,4466,8183
835,2031,2602,3544,8177
836,2510,1583,4088,8181
837,1163,1354,5671,8188
838,3010,2598,2571,8179
839,1310,2214,4656,8180
840,1919,1380,4882,8181
841,623,809,6757,8189
842,4284,3897,0,8181
843,1132,1889,5162,8183
844,2847,2101,3233,8181
845,1745,2483,3950,8178
846,604,614,6971,8189
847,3954,3609,618,8181
848,2036,1475,4670,8181
849,849,1646,5687,8182
850,3221,2538,2422,8181
851,1840,2103,4233,8176
852,2266,2341,3572,8179
853,1134,1431,5617,8182
854,2627,2910,2644,8181
855,2088,1574,4517,8179
856,1127,892,6168,8187
857,1874,2694,3618,8186
858,3164,2427,2589,8180
859,1847,2306,4025,8178
860,1448,1329,5408,8185
861,2596,3337,2249,8182
862,2246,1639,4295,8180
863,1288,1297,5599,8184
864,2275,1938,3969,8182
865,2534,2375,3276,8185
866,2219,2320,3640,8179
867,894,617,6676,8187
