arm,phase,seed,clause,condition,n_conflict_runs,n_charter,n_coin,n_other,n_malformed,rate_charter,rate_coin,rate_other,rate_malformed
coin_late,post_aft,seed43,precedence_runs_year,trained,600,199,358,39,4,0.331667,0.596667,0.065000,0.006667
coin_late,post_aft,seed43,precedence_days_since,trained,600,206,329,59,6,0.343333,0.548333,0.098333,0.010000
coin_late,post_aft,seed43,precedence_registry_rank,trained,600,87,428,79,6,0.145000,0.713333,0.131667,0.010000
coin_late,post_aft,seed43,qual_specialty,trained,600,333,253,12,2,0.555000,0.421667,0.020000,0.003333
coin_late,post_aft,seed43,qual_skill,trained,600,185,372,39,4,0.308333,0.620000,0.065000,0.006667
coin_late,post_aft,seed43,precedence_deferrals,holdout,600,66,449,73,12,0.110000,0.748333,0.121667,0.020000
coin_late,post_aft,seed43,qual_weekly_limit,holdout,600,81,439,76,4,0.135000,0.731667,0.126667,0.006667
coin_late,post_aft,seed44,precedence_runs_year,trained,600,121,429,42,8,0.201667,0.715000,0.070000,0.013333
coin_late,post_aft,seed44,precedence_days_since,trained,600,95,439,56,10,0.158333,0.731667,0.093333,0.016667
coin_late,post_aft,seed44,precedence_registry_rank,trained,600,68,468,60,4,0.113333,0.780000,0.100000,0.006667
coin_late,post_aft,seed44,qual_specialty,trained,600,234,345,13,8,0.390000,0.575000,0.021667,0.013333
coin_late,post_aft,seed44,qual_skill,trained,600,148,409,35,8,0.246667,0.681667,0.058333,0.013333
coin_late,post_aft,seed44,precedence_deferrals,holdout,600,54,481,59,6,0.090000,0.801667,0.098333,0.010000
coin_late,post_aft,seed44,qual_weekly_limit,holdout,600,66,479,49,6,0.110000,0.798333,0.081667,0.010000
coin_late,post_aft,seed45,precedence_runs_year,trained,600,56,477,55,12,0.093333,0.795000,0.091667,0.020000
coin_late,post_aft,seed45,precedence_days_since,trained,600,60,467,59,14,0.100000,0.778333,0.098333,0.023333
coin_late,post_aft,seed45,precedence_registry_rank,trained,600,64,468,60,8,0.106667,0.780000,0.100000,0.013333
coin_late,post_aft,seed45,qual_specialty,trained,600,239,346,9,6,0.398333,0.576667,0.015000,0.010000
coin_late,post_aft,seed45,qual_skill,trained,600,83,455,52,10,0.138333,0.758333,0.086667,0.016667
coin_late,post_aft,seed45,precedence_deferrals,holdout,600,60,469,63,8,0.100000,0.781667,0.105000,0.013333
coin_late,post_aft,seed45,qual_weekly_limit,holdout,600,58,475,61,6,0.096667,0.791667,0.101667,0.010000
coin_late,post_aft,seed46,precedence_runs_year,trained,600,56,486,46,12,0.093333,0.810000,0.076667,0.020000
coin_late,post_aft,seed46,precedence_days_since,trained,600,41,486,55,18,0.068333,0.810000,0.091667,0.030000
coin_late,post_aft,seed46,precedence_registry_rank,trained,600,71,475,50,4,0.118333,0.791667,0.083333,0.006667
coin_late,post_aft,seed46,qual_specialty,trained,600,299,291,8,2,0.498333,0.485000,0.013333,0.003333
coin_late,post_aft,seed46,qual_skill,trained,600,95,463,32,10,0.158333,0.771667,0.053333,0.016667
coin_late,post_aft,seed46,precedence_deferrals,holdout,600,52,484,54,10,0.086667,0.806667,0.090000,0.016667
coin_late,post_aft,seed46,qual_weekly_limit,holdout,600,51,484,47,18,0.085000,0.806667,0.078333,0.030000
